Predictor,b,beta,SE,t,P,Marginal_R2,Conditional_R2,ICC_model,n_participants,n_observations
Intercept,-0.00201872842860728,,0.0312629657682765,-0.0645725182815428,0.948660826250755,0.366901442267076,0.644638306044881,0.438694513493063,49,93
Perceived Pain (VAS),-0.00143623969454838,-0.295533997052474,0.00044477103076971,-3.22916645911686,0.00174583434674072,,,,,
Delta ET-CO2 (mmHg),0.0110511193955515,0.467068533331191,0.00197426748785409,5.59757959017165,2.43212193968476e-07,,,,,
Visit Number,0.0130361399869224,,0.0120255204646311,1.08403956612636,0.281308369360939,,,,,
