Group,Variable,Epoch,n,ICC_full,CCC_full,ICC_LOO_min,ICC_LOO_max,CCC_LOO_min,CCC_LOO_max,max_abs_delta_ICC,max_abs_delta_CCC,Most_influential_ID_ICC,ICC_change_full_minus_leave_one_out,Max_abs_change_ICC,ICC_after_removing_most_influential_ID,Most_influential_ID_CCC,CCC_change_full_minus_leave_one_out,Max_abs_change_CCC,CCC_after_removing_most_influential_ID,ICC_sign_changes_in_LOO,CCC_sign_changes_in_LOO,High_influence_flag
Exclude unmatched females,HR,Min 2,42,0.811,0.662,0.69,0.859,0.511,0.741,0.121,0.152,15,0.121,0.121,0.69,15,0.152,0.152,0.511,False,False,False
Exclude unmatched females,MBP,Baseline,42,0.664,0.496,0.613,0.724,0.442,0.565,0.06,0.068,6,-0.06,0.06,0.724,6,-0.068,0.068,0.565,False,False,False
Exclude unmatched females,MBP,Min 1,42,0.664,0.473,0.603,0.714,0.408,0.536,0.061,0.064,21,0.061,0.061,0.603,21,0.064,0.064,0.408,False,False,False
Exclude unmatched females,MBP,Min 2,42,0.805,0.669,0.784,0.828,0.633,0.704,0.023,0.036,7,-0.023,0.023,0.828,21,0.036,0.036,0.633,False,False,False
Exclude unmatched females,MCAv mean,Baseline,40,0.731,0.574,0.707,0.783,0.544,0.634,0.051,0.061,47,-0.051,0.051,0.783,47,-0.061,0.061,0.634,False,False,False
Exclude unmatched females,MCAv mean,Min 1,40,0.663,0.491,0.612,0.698,0.436,0.534,0.051,0.055,15,0.051,0.051,0.612,15,0.055,0.055,0.436,False,False,False
Exclude unmatched females,MCAv mean,Min 2,40,0.765,0.619,0.74,0.832,0.587,0.711,0.067,0.092,5,-0.067,0.067,0.832,5,-0.092,0.092,0.711,False,False,False
Exclude unmatched females,MCAv pulsatility,Baseline,40,0.72,0.563,0.68,0.833,0.516,0.71,0.112,0.148,8,-0.112,0.112,0.833,8,-0.148,0.148,0.71,False,False,False
Exclude unmatched females,MCAv pulsatility,Min 1,40,0.367,0.221,0.248,0.438,0.14,0.279,0.119,0.081,33,0.119,0.119,0.248,33,0.081,0.081,0.14,False,False,False
Exclude unmatched females,MCAv pulsatility,Min 2,40,0.593,0.42,0.473,0.644,0.31,0.475,0.12,0.11,21,0.12,0.12,0.473,21,0.11,0.11,0.31,False,False,False
Exclude unmatched females,SBP,Baseline,42,0.596,0.424,0.507,0.65,0.339,0.476,0.089,0.084,21,0.089,0.089,0.507,21,0.084,0.084,0.339,False,False,False
Exclude unmatched females,SBP,Min 1,42,0.653,0.47,0.586,0.698,0.398,0.526,0.067,0.072,51,0.067,0.067,0.586,51,0.072,0.072,0.398,False,False,False
Exclude unmatched females,SBP,Min 2,42,0.789,0.65,0.756,0.811,0.604,0.682,0.033,0.045,51,0.033,0.033,0.756,51,0.045,0.045,0.604,False,False,False
Female unmatched,CVCi,Baseline,6,-0.519,-0.196,-2.844,0.394,-0.515,0.234,2.324,0.43,49,2.324,2.324,-2.844,22,-0.43,0.43,0.234,True,True,True
Female unmatched,CVCi,Min 1,6,0.867,0.691,0.839,0.902,0.579,0.774,0.035,0.112,26,-0.035,0.035,0.902,36,0.112,0.112,0.579,False,False,False
Female unmatched,CVCi,Min 2,6,0.487,0.309,0.12,0.908,0.06,0.588,0.421,0.279,26,-0.421,0.421,0.908,26,-0.279,0.279,0.588,False,False,True
Female unmatched,DBP,Baseline,7,0.841,0.58,0.444,0.902,0.159,0.727,0.397,0.42,42,0.397,0.397,0.444,42,0.42,0.42,0.159,False,False,True
Female unmatched,DBP,Min 1,7,0.474,0.304,0.293,0.847,0.166,0.718,0.373,0.415,42,-0.373,0.373,0.847,42,-0.415,0.415,0.718,False,False,True
Female unmatched,DBP,Min 2,7,0.162,0.079,-0.826,0.708,-0.228,0.547,0.987,0.468,36,0.987,0.987,-0.826,42,-0.468,0.468,0.547,True,True,True
