Variable,Epoch,n,Visit_1,Visit_1_summary,Visit_2,Visit_2_summary,Fixed_Bias,Fixed_Bias_summary,Comparison_Test,Comparison_P,Effect,Effect_type,MAE,MAPE_%,CV_%,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC
ET-CO2,Min 2,43,-2.01 [3.6],median_iqr,-2.71 [4.72],median_iqr,0.729 +/- 3.5,mean_sd,paired t,0.17915659507134812,0.20833882705446993,paired d,2.6939386976744193,742.2448991278806,-112.2754991345263,0.7290066511627912,3.499139653753514,fan,-4.264462865548946,5.722476167874529,-0.14720368264847028,0.3462027302355217,-0.39021443672606465,0.009685533542358401,0.6402308348246701,0.34,0.81,0.0006285635398940618,0.4600204190270435
MCAv peak,Min 1,46,-1.41 +/- 5.04,mean_sd,-1.47 [6.79],median_iqr,-0.298 [7.82],median_iqr,Wilcoxon,0.9052623889877793,-0.02127659574468085,rank biserial,5.217225608695651,888.9557853661214,-661.1426196309604,-0.6728109782608712,7.095817223288549,regression+fan,-10.331636459056645,8.986014502534902,-0.523678251153859,0.00018789336228406065,0.2973172987974098,0.044787980371859264,0.6378354640405076,0.35,0.8,0.0004512682719951286,0.46597424261598863
MCAv peak,Min 2,46,-4.09 +/- 8.33,mean_sd,-4.53 +/- 9.78,mean_sd,1.05 [7.14],median_iqr,Wilcoxon,0.4879953735701861,0.11933395004625347,rank biserial,5.9998450869565225,260.41542141560967,-194.77289290766865,0.4413118043478254,8.38831955553979,standard,-15.999794524510163,16.882418133205814,-0.19495953289056694,0.19415332763840157,-0.21282762873882208,0.15558712414461828,0.7289228554681603,0.51,0.85,1.2571090302832685e-05,0.5727773884010326
MCAv min,Min 1,46,1.08 +/- 4.11,mean_sd,1.98 [5.52],median_iqr,0.00922 [5.04],median_iqr,Wilcoxon,0.522711255983694,-0.11008325624421832,rank biserial,3.8705149456521735,451.9606094728538,332.86158135333136,-1.0165290760869563,5.272128937344615,regression+fan,-8.792676454753948,6.759618302580036,-0.372876626404336,0.010706007573474265,0.3612087573234659,0.013651118672392937,0.6214871602964898,0.32,0.79,0.000735679576932001,0.4416224099324971
MCAv min,Min 2,46,0.731 [7.01],median_iqr,0.273 [8.38],median_iqr,-0.117 [6.99],median_iqr,Wilcoxon,0.8455738383649702,0.034227567067530065,rank biserial,5.016127478260868,317.8357607978577,-2098.8175551328063,-0.09765576086956576,7.172395540827153,standard,-14.155551020890785,13.960239499151653,0.11475782260905333,0.44760161782102426,-0.03903792784458834,0.7967313090562821,0.6072048075485689,0.29,0.78,0.0010950652002910686,0.4359147102049815
MCAv mean,Min 1,46,1.05 +/- 4.51,mean_sd,1.71 [7.34],median_iqr,-0.0757 [5.14],median_iqr,Wilcoxon,0.7536307561459807,-0.0545790934320074,rank biserial,3.956982173913043,146.3387651258092,396.628948598971,-0.7350249130434776,5.634698638981775,regression,-10.790558651779952,9.320508825692995,-0.4352219275745,0.0025041393961100626,0.22898550724637684,0.12583526692000535,0.6761573596051045,0.41,0.82,0.00012210358387052802,0.5064436769686993
MCAv mean,Min 2,46,-0.754 +/- 7.85,mean_sd,-0.772 +/- 7.56,mean_sd,0.0179 +/- 7.22,mean_sd,paired t,0.9866658775539535,0.0024778722230959778,paired d,5.110256380434784,174.75593576054254,-946.4585892249308,0.017890184782608537,7.219978744608405,standard,-14.133268154649866,14.169048524215082,0.04594585628062355,0.7617342762747,0.049275362318840575,0.7450282049026217,0.7191449327744994,0.49,0.84,2.0139529502700995e-05,0.5614553682062057
MCAv pulse,Min 1,46,-2.48 +/- 3.35,mean_sd,-2.63 [4.73],median_iqr,0.345 +/- 4.65,mean_sd,paired t,0.6165442716444025,0.07434794254283836,paired d,3.672343793478261,300.293775554745,-174.9468793257956,0.345497663043478,4.6470373116835955,standard,-8.76269546785637,9.453690793943325,-0.25695299148293216,0.08473397207606691,-0.22701202590194264,0.12922035677935337,0.43167688331889476,-0.03,0.69,0.030566070723995697,0.2741248242141889
MCAv pulse,Min 2,46,-4.08 [4.91],median_iqr,-4.23 +/- 5.44,mean_sd,0.541 +/- 5.1,mean_sd,paired t,0.4757782303681452,0.10603008851611616,paired d,3.9812197934782607,134.0840264661835,-128.65339190637428,0.5407471413043475,5.099940487384919,regression,-8.682101490568716,9.76359577317741,-0.4093994016654954,0.0047242774589751554,-0.04853530681467777,0.748731802421671,0.5659562911928995,0.22,0.76,0.003023809852056338,0.39193107436701924
MCAv pulsatility,Min 1,46,-0.0493 +/- 0.0803,mean_sd,-0.0585 [0.0778],median_iqr,0.00842 [0.0958],median_iqr,Wilcoxon,0.42871318553767424,0.13598519888991675,rank biserial,0.0720379129073935,443.2717864828195,-168.3284452243342,0.017304963016089133,0.0975561124399849,standard,-0.17390501736628125,0.20851494339845952,0.01704406268556524,0.9104862697139939,-0.2065371569534382,0.16846493406667304,0.4000356520634852,-0.08,0.67,0.045038965411105344,0.244138613094271
MCAv pulsatility,Min 2,46,-0.0577 [0.0944],median_iqr,-0.0448 [0.113],median_iqr,-0.00108 [0.134],median_iqr,Wilcoxon,0.9310248382980433,-0.01572617946345976,rank biserial,0.08947643873207171,466.90869377667525,-250.682764785505,0.01371444792772388,0.12780756048629188,standard,-0.23678837062540822,0.264217266480856,0.061956351332833635,0.682512200827023,-0.036324390995991364,0.8105915503834557,0.49663188668717395,0.09,0.72,0.011669562030740606,0.32776271973088933
CVCi,Min 1,46,-0.0401 +/- 0.0586,mean_sd,-0.0172 +/- 0.0874,mean_sd,-0.023 +/- 0.0812,mean_sd,paired t,0.06141955107112618,-0.2828509749496912,paired d,0.062145503673110045,765.7648023678943,-283.54559464415547,-0.022972034460725564,0.08121603422018059,regression,-0.16940254807083618,0.12345847914938504,-0.41546963651499486,0.0040872415588638815,0.21813135985198892,0.14530240512767026,0.5752259363553778,0.23,0.76,0.0024449649279879053,0.3849590486152857
CVCi,Min 2,46,-0.0946 +/- 0.0846,mean_sd,-0.0948 +/- 0.0945,mean_sd,0.000152 +/- 0.0803,mean_sd,paired t,0.9898267059543983,0.001890459302660791,paired d,0.05916212450301371,94.0207861713724,-84.80102283970328,0.00015184767189778162,0.08032316362698656,standard,-0.1572815530369959,0.15758524838079144,-0.13720200763786985,0.36321804115935036,-0.0765340733888375,0.6131820487238294,0.7491039281866497,0.55,0.86,4.3585063689466644e-06,0.5988529720927491
CVRi,Min 1,41,0.117 [0.24],median_iqr,0.0919 [0.261],median_iqr,0.0333 [0.298],median_iqr,Wilcoxon,0.2064557713110844,0.22880371660859466,rank biserial,0.24549626090892002,2129.551588944692,264.9592498696583,0.11946501308616755,0.4070076821683641,standard,-0.6782700439638261,0.9172000701361611,0.2619737168847553,0.09800272429218716,0.23885017421602792,0.13259319143661744,0.4610348141707384,-0.01,0.71,0.02696496513384905,0.2821242736433315
CVRi,Min 2,41,0.236 [0.352],median_iqr,0.285 [0.335],median_iqr,0.000438 [0.343],median_iqr,Wilcoxon,0.8274844261859471,0.04065040650406504,rank biserial,0.24542642350663119,96.579169154569,113.68118449951258,0.048644815810411114,0.38619425593552686,standard,-0.7082959258232215,0.8055855574440438,0.22808749763935224,0.15148899774826421,0.30801393728223003,0.05009129465209058,0.7186292606290122,0.47,0.85,5.5957771427255726e-05,0.5568514939582242
SmO2,Min 1,45,0.166 +/- 2.05,mean_sd,0.0708 +/- 1.94,mean_sd,0.0949 +/- 2.7,mean_sd,paired t,0.8149077214567393,0.03510735872392405,paired d,1.9122730222222224,711.3581752886572,2286.106506773473,0.09492011111111162,2.7037098363776346,standard,-5.204351168189052,5.394191390411275,0.05567099509097983,0.7164366058540775,0.04387351778656126,0.7747492263680859,0.15181576233817784,-0.54,0.53,0.29366525004869704,0.08204826787446955
SmO2,Min 2,45,0.0556 +/- 3.25,mean_sd,-0.171 [3.55],median_iqr,0.528 +/- 4.32,mean_sd,paired t,0.4163273662831056,0.122320029191127,paired d,3.0918680888888863,465.0864685637929,-2071.3163579823836,0.5281636444444455,4.317883570965973,standard,-7.934888154648862,8.991215443537753,-0.07213326350628115,0.6377248097895396,-0.18221343873517787,0.2309213358171934,0.30423706274652307,-0.27,0.62,0.11642668686960632,0.1771852473170923
